zone,neighborhood,2026,2027,2028,2029,2030,2031,2032,2033
RMH,Altamont,5,5,5,6,5,6,5,5
RL,Cordes,,1,1,,1,,1,
RL,Costa,51,52,52,51,52,51,52,46
RM,Costa,78,78,78,77,77,78,77,70
RMH,Costa,18,18,18,18,18,19,18,17
RH,Costa,42,42,42,43,42,42,43,38
RL,Hansen,1,1,1,1,1,1,1,1
RH,Hansen,14,14,13,14,13,13,14,12
RL,Pombo,235,235,235,235,236,235,235,213
RM,Pombo,177,177,177,177,177,178,177,160
RMH,Pombo,108,108,107,108,107,108,107,97
RH,Pombo,86,86,86,86,86,86,85,77
RL,Questa,10,10,10,10,11,10,10,10
RMH,Questa,43,42,43,43,42,42,43,38
RM,Wicklund,32,31,32,31,32,31,32,28
