Grid Name,Aug '16,May '17,Aug '17,May '18,Aug '18,May '19,Aug '19,May '20,Aug '20,May '21,Aug '21,May '22,Aug '22,May '23,Aug '23,May '24,Aug '24,May '25,Aug '25,Mar '26*
Altamont,898,866,881,864,866,859,865,855,849,818,868,873,842,853,851,873,869,911,911,927
Bethany,1198,1155,1178,1165,1155,1181,1224,1212,1248,1159,1187,1191,1183,1190,1184,1181,1155,1166,1154,1141
Cordes,,,,35,113,334,483,614,814,840,997,1056,1158,1185,1264,1313,1375,1372,1419,1438
Costa,,,,,,,0,18,62,107,341,420,537,564,633,647,680,676,714,742
Hansen,281,313,384,473,754,688,852,939,1070,1085,1194,1187,1253,1252,1273,1284,1300,1321,1314,1338
Lammersville,189,162,166,175,178,174,179,180,183,181,187,183,188,193,191,195,187,200,191,195
Questa,998,968,1042,1045,1066,1076,1062,1068,1097,1065,1107,1123,1135,1165,1189,1187,1178,1196,1153,1171
Wicklund,766,983,1086,1004,1036,1022,1008,1005,979,944,980,966,954,984,962,999,994,1023,980,995
Inter-Districts,191,209,176,210,173,197,183,192,148,184,154,179,175,182,161,175,155,161,175,180
MHESD,13,15,11,10,8,10,6,6,4,4,3,3,1,1,0,0,2,7,6,4
Pombo,,,,,,,,,,,,,,,,,,,39,88
