zone,neighborhood,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
RH,Wicklund,,,,,,,,,,,,,,,,,,,,,,304,172,
RL,Costa,,,,,,,,,,,,,,,,,,,,,,,38,7
RL,Hansen,,,,,,,,,,,,,,46,86,103,132,44,,,,,,
RL,Cordes,,,,,,,,,,,,,,,5,118,36,37,,,,,,
RL,Bethany,1,,20,217,166,1,,,,,,,,,,,,,,,,,,
RL,Wicklund,151,284,136,27,,,,,,,,,,,,,,,,,,,,
RL,Altamont,,,,17,130,80,59,23,18,13,,,,,,,,,,,,,,
RL,Questa,,,,,,9,8,12,19,14,98,105,84,49,21,,1,,,,,,,
RL,Pombo,,,,,,,,,,,,,,,,,,,,,,,46,
RM,Costa,,,,,,,,,,,,,,,,,23,132,347,127,,,20,
RM,Hansen,,,,,,,,,,,,39,152,192,91,5,89,35,,,,,,
RM,Cordes,,,,,,,,,,,,,,,36,337,232,113,29,34,,,,
RM,Bethany,,,189,355,91,,,,,,,,,,,,,,,,,,,
RM,Wicklund,62,240,78,1,,,,,,,,,,,,,,,,,,,,
RM,Altamont,,,,18,247,162,3,2,20,21,77,,,,,,,,,,,,,
RM,Questa,,,,,4,22,11,20,106,166,228,94,7,,,,,,,,,,,
RM,Pombo,,,,,,,,,,,,,,,,,,,,,,,20,
RMH,Hansen,,,,,,,,,,,,,,,,,,49,75,1,,,6,
RMH,Cordes,,,,,,,,,,,,,,,,1,14,28,63,68,22,81,,
RMH,Bethany,,,,143,55,35,22,,,,,,,,,,,,,,,,,
RMH,Altamont,,,,,,,,,,,,,,,,,,,,,,131,81,
