School Name,Aug '16,May '17,Aug '17,May '18,Aug '18,May '19,Aug '19,May '20,Aug '20,May '21,Aug '21,May '22,Aug '22,May '23,Aug '23,May '24,Aug '24,May '25,Aug '25,Mar '26*
Altamont,749,828,885,920,705,762,753,784,449,417,583,638,678,733,640,667,608,621,622,627
Bethany,875,889,887,886,852,852,849,877,544,518,784,800,870,864,792,797,765,768,800,815
Cordes,,,,,,,,,264,254,796,832,868,871,863,858,875,868,875,881
Costa,,,,,,,,,,,,,,,493,522,602,641,599,628
Hansen,,,,,641,688,808,829,378,346,843,904,921,941,912,928,928,940,917,942
Lammersville,181,215,187,211,197,196,192,225,151,148,158,193,166,212,150,167,171,210,161,201
Questa,841,856,901,912,843,885,870,930,502,476,718,766,883,919,851,856,815,837,816,849
Wicklund,761,800,827,861,741,806,837,886,515,490,793,844,842,854,724,746,687,689,684,694
High School,1114,1083,1237,1191,1370,1352,1553,1558,1726,1700,1981,1946,2163,2134,2267,2286,2428,2426,2564,2555
LVLA/LEO,,,,,,,,,1925,2038,338,258,35,41,16,27,15,33,18,27
